,begin_date,institution,type,causative1,setting,end_date,latitude,longitude,Month,Year,_dt_diff
0,2016-01-01,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-01
1,2016-01-02,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-02
2,2016-01-03,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-03
3,2016-01-04,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-04
4,2016-01-05,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-05
5,2016-01-06,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-06
6,2016-01-07,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-07
7,2016-01-08,west park long term care,1.0,Coronavirus,3.0,2016-01-21,43.690044,-79.50818129999998,January,2016,2016-01-08
8,2016-01-09,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-09
9,2016-01-10,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-10
10,2016-01-11,sunnybrook health sciences centre,1.0,Enterovirus/Rhinovirus,3.0,2016-01-18,43.72284570000001,-79.37287490000001,January,2016,2016-01-11
11,2016-01-11,midland gardens community,1.0,Respiratory syncytial virus,3.0,2016-02-01,43.70835,-79.24749299999998,January,2016,2016-01-12
12,2016-01-12,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-13
13,2016-01-13,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-14
14,2016-01-14,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-15
15,2016-01-15,salvation army health centre,1.0,Influenza A (H3N2),3.0,2016-01-26,43.65,-79.38,January,2016,2016-01-16
16,2016-01-16,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-17
17,2016-01-17,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-18
18,2016-01-18,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-19
19,2016-01-19,sunnybrook health sciences centre,1.0,Coronavirus,3.0,2016-01-27,43.72284570000001,-79.37287490000001,January,2016,2016-01-20
20,2016-01-20,st john's rehabilitation centre,1.0, Respiratory syncytial virus,1.0,2016-02-19,43.787545400000006,-79.40405679999998,January,2016,2016-01-21
21,2016-01-21,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-22
22,2016-01-22,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-23
23,2016-01-23,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-24
24,2016-01-24,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-25
